nome,cpf,idade,data,endereco,estado
Sr. Vitor Gabriel Silva,640.719.385-01,90,1933-12-06,"Trevo Emanuel Silva, 482, Vila Tirol, 47847085 Pereira / AP",Rondônia
Calebe Santos,651.297.384-46,40,1984-03-06,"Recanto Moraes, 7, Ernesto Nascimento, 96497-621 da Rosa / PB",Rio de Janeiro
Evelyn Pires,107.643.528-90,80,1944-03-09,"Travessa de Caldeira, 237, Santa Terezinha, 84390313 Sales / TO",Sergipe
Maria Julia Castro,164.750.293-43,76,1947-04-12,"Residencial de Pereira, 20, Jatobá, 62127-165 Gomes de Santos / AL",Pernambuco
Arthur Da Rosa,085.167.249-30,53,1970-04-16,"Parque Almeida, 66, Vila Suzana Segunda Seção, 09805-686 Santos / SE",Santa Catarina
Juan Pereira,520.876.319-21,68,1955-10-25,"Rodovia de Pereira, 51, Estrela, 44830637 Mendes de Moraes / BA",Rio de Janeiro
Dra. Ana Laura Ribeiro,210.764.589-20,69,1954-05-09,"Esplanada Lavínia Ramos, São Francisco, 39467-536 da Mata / SP",Distrito Federal
Maria Clara Araújo,960.342.175-80,41,1983-03-14,"Praça Cavalcanti, 65, Conjunto Celso Machado, 97788-105 Vieira / RO",Paraná
Vitória Oliveira,302.568.479-83,31,1993-03-10,"Esplanada Monteiro, 88, Conjunto Paulo Vi, 06403-281 Moraes / GO",Roraima
Benjamin Oliveira,451.896.703-84,49,1974-05-16,"Ladeira Monteiro, 57, Vila Primeiro De Maio, 76835-491 Moura dos Dourados / CE",Acre
Pietro Barros,843.095.172-50,51,1972-08-19,"Recanto Luiz Miguel Jesus, 35, Vila Aeroporto Jaraguá, 50536-588 Oliveira de Goiás / PB",Minas Gerais
Samuel Cavalcanti,520.679.841-01,89,1934-11-26,"Ladeira de Porto, 38, Nova America, 91782042 Barros de da Mata / TO",Roraima
Ian Da Costa,384.172.609-78,23,2001-01-21,"Via de Jesus, 57, Vila Da Amizade, 93849-206 Correia / PB",Goiás
Dr. Emanuel Costa,736.581.942-19,55,1969-03-09,"Lago Castro, 94, Mariano De Abreu, 24415-900 Porto / RJ",Goiás
Larissa Da Cruz,128.953.704-60,83,1940-11-22,"Setor Isadora da Rosa, 583, Chácara Leonina, 20125668 Teixeira / RR",Mato Grosso do Sul
Diogo Carvalho,078.153.294-97,83,1941-03-10,"Viaduto Pedro Lucas Cavalcanti, 49, Tiradentes, 27653-901 Rezende / RS",Maranhão
