nome,cpf,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao,rua,bairro,cep,cidade
Vitor Lima,612.***.***-99,56,1968-01-19,Pará,13550.54,Ensino Médio,0,Casado,17,Tecnologia,"Estrada Barbosa, 255",Vila Tirol,53133-647,Barros 
Ana Clara Martins,648.***.***-06,33,1990-12-02,Santa Catarina,10645.16,Não informado,3,Não informado,15,Não informado,"Favela Duarte, 44",Bonfim,37709-685,Farias das Flores 
Heloísa da Mata,340.***.***-33,49,1975-01-31,Rio Grande do Norte,3124.72,Ensino Médio,3,Casado,3,Indústria,"Pátio de Vieira, 83",Jonas Veiga,53832-319,Cardoso 
Juan Novaes,097.***.***-01,54,1969-08-26,Minas Gerais,7534.6,Ensino Médio,0,Casado,18,Tecnologia,Morro de Pereira,Piraja,36797-897,Rocha 
Srta. Sarah Peixoto,079.***.***-68,61,1963-03-19,Amapá,4067.73,Ensino Fundamental,1,Solteiro,16,Comércio,"Área Marina Martins, 34",São Sebastião,10696-521,das Neves 
Maria da Rocha,140.***.***-31,30,1993-12-09,Alagoas,6809.94,Ensino Médio,1,Casado,9,Tecnologia,"Esplanada de Fernandes, 58",Marieta 3ª Seção,64664-398,Gomes 
Ana Júlia Silveira,718.***.***-26,54,1969-06-24,Pará,9025.74,Ensino Médio,1,Solteiro,25,Indústria,"Favela Maria Vitória Jesus, 3",Vila Rica,09722-493,Correia 
Mariane Gomes,789.***.***-79,28,1996-03-25,Tocantins,9493.67,Ensino Superior,1,Casado,6,Comércio,Área da Cunha,Santo Antônio,54159-049,Cardoso dos Dourados 
Carlos Eduardo Gonçalves,958.***.***-41,21,2002-06-11,Rio Grande do Norte,3057.18,Ensino Médio,1,Divorciado,1,Educação,"Área Pinto, 5",Vila Maloca,84357-045,Martins Alegre 
Brenda Barros,240.***.***-79,30,1993-06-20,Tocantins,4072.6,Ensino Médio,0,Solteiro,11,Educação,Condomínio de Ribeiro,Granja Werneck,34811-809,das Neves 
Emilly Souza,175.***.***-50,24,2000-02-21,Rio Grande do Norte,4039.96,Ensino Fundamental,1,Solteiro,0,Indústria,"Loteamento Luiza Rodrigues, 808",Coqueiros,47817-796,Jesus 
Esther Duarte,624.***.***-62,35,1988-08-02,Amazonas,3457.97,Ensino Fundamental,1,Viúvo,3,Indústria,Condomínio Gustavo Henrique da Mota,Estoril,98388-619,Correia de Goiás 
Maria Luiza Cardoso,468.***.***-30,28,1996-01-18,Pernambuco,11199.84,Não informado,0,Não informado,0,Não informado,"Estação de Correia, 370",Novo São Lucas,07966-250,Farias 
Nina Moura,589.***.***-30,29,1995-02-22,Rio Grande do Norte,3913.59,Ensino Médio,1,Casado,3,Educação,"Passarela Costa, 79",Bela Vitoria,74834-118,Rezende 
Enrico Monteiro,985.***.***-29,62,1961-06-06,Ceará,5445.06,Ensino Médio,1,Casado,0,Saúde,"Vila Santos, 1",Nova Cintra,25750-181,Porto 
André Santos,569.***.***-03,39,1984-12-08,Rio Grande do Sul,11956.86,Ensino Superior,1,Divorciado,13,Saúde,"Via de da Luz, 34",Conjunto Califórnia Ii,87565-897,Nascimento 
Joana Ferreira,207.***.***-13,27,1996-11-08,São Paulo,4741.55,Ensino Fundamental,2,Casado,5,Tecnologia,"Área de Melo, 45",Jardim Guanabara,07586-725,Vieira Verde 
Milena Gonçalves,467.***.***-71,28,1995-08-04,Santa Catarina,5750.38,Ensino Médio,1,Casado,1,Tecnologia,"Passarela de Gomes, 26",Taquaril,35937-010,Silva do Sul 
Rafael da Cunha,104.***.***-06,22,2001-07-26,Distrito Federal,3302.26,Ensino Médio,1,Solteiro,2,Indústria,"Jardim Vitor Hugo Vieira, 586",Havaí,56124-881,Farias Alegre 
Vitor Hugo Dias,481.***.***-79,31,1993-04-10,Pernambuco,6801.59,Ensino Médio,1,Casado,8,Saúde,"Passarela Caio Campos, 43",Barro Preto,42284-477,Nogueira 
Marcelo Caldeira,439.***.***-24,41,1982-09-13,Amapá,6764.265822019516,Ensino Superior,0,Casado,13,Indústria,"Vila de Araújo, 498",Primeiro De Maio,05369-199,Santos do Norte 
Vitor Gabriel Cunha,082.***.***-94,46,1977-07-14,Distrito Federal,3452.93,Ensino Fundamental,1,Divorciado,24,Saúde,"Chácara Alves, 8",Vila São Francisco,53758-045,Porto do Oeste 
Maria das Neves,054.***.***-20,62,1961-06-30,São Paulo,7316.91,Ensino Superior,2,Solteiro,8,Indústria,Vale Bryan Pinto,Mariano De Abreu,86403-249,Ramos 
Sr. João Guilherme Rezende,645.***.***-02,23,2000-08-11,Paraíba,3076.23,Ensino Médio,0,Casado,5,Indústria,"Passarela de Teixeira, 3",Conjunto Minas Caixa,20814-446,Farias do Oeste 
Letícia Gonçalves,620.***.***-00,39,1985-02-17,Paraná,6764.265822019516,Ensino Médio,0,Casado,12,Comércio,"Distrito Catarina Barbosa, 562",Castelo,91362-932,Almeida do Sul 
Nicole Ferreira,583.***.***-93,25,1998-11-08,Goiás,3268.8,Ensino Médio,0,Solteiro,6,Educação,"Lago Thiago Aragão, 54",Céu Azul,14208-587,Caldeira 
Srta. Luna Oliveira,073.***.***-71,49,1974-10-19,Bahia,10181.14,Ensino Superior,1,Casado,23,Comércio,"Recanto Noah Rezende, 24",Vila Puc,63658-091,Souza 
Benício da Rocha,394.***.***-07,61,1962-11-10,Alagoas,9928.59,Ensino Médio,0,Casado,33,Indústria,Lago Daniel Campos,Havaí,56785-724,Rodrigues do Galho 
Mariane da Mata,718.***.***-73,59,1965-04-05,Pernambuco,9808.35,Ensino Superior,4,Casado,35,Educação,"Aeroporto Porto, 4",Vila Bandeirantes,21106-038,Rodrigues de Melo 
Luiz Miguel da Mata,301.***.***-04,50,1973-09-28,Sergipe,5225.2,Ensino Médio,1,Casado,16,Comércio,"Área Oliveira, 504",Aeroporto,83431-630,Dias 
Ana da Conceição,581.***.***-32,22,2001-10-02,Sergipe,3645.0,Ensino Superior,1,Casado,0,Educação,"Favela Ryan Moraes, 44",União,19402-181,Oliveira da Mata 
Matheus Pereira,613.***.***-17,85,1939-04-10,Distrito Federal,2387.19,Ensino Fundamental,0,Casado,36,Tecnologia,"Rodovia Beatriz Costa, 34",Jardim Alvorada,16398-038,Ramos 
Camila Ramos,506.***.***-56,46,1978-02-22,Alagoas,7664.25,Ensino Médio,1,Casado,3,Tecnologia,"Vereda de Nunes, 21",Venda Nova,05729-057,Barros 
