nome,cpf,idade,rua,numero_casa,bairro,sigla_estado,data_nascimento
Sr. Vitor Gabriel Silva,640***.***.***-01,91.0,Trevo Emanuel Silva, 482, Vila Tirol,RO,1933-12-06
Calebe Santos,651***.***.***-46,40.0,Recanto Moraes, 7, Ernesto Nascimento,RJ,1984-03-06
Evelyn Pires,107***.***.***-90,80.0,Travessa de Caldeira, 237, Santa Terezinha,SE,1944-03-09
Maria Julia Castro,164***.***.***-43,77.0,Residencial de Pereira, 20, Jatobá,PE,1947-04-12
Arthur Da Rosa,085***.***.***-30,54.0,Parque Almeida, 66, Vila Suzana Segunda Seção,SC,1970-04-16
Juan Pereira,520***.***.***-21,69.0,Rodovia de Pereira, 51, Estrela,RJ,1955-10-25
Dra. Ana Laura Ribeiro,210***.***.***-20,70.0,Esplanada Lavínia Ramos, São Francisco, 39467-536 da Mata / SP,DF,1954-05-09
Maria Clara Araújo,960***.***.***-80,41.0,Praça Cavalcanti, 65, Conjunto Celso Machado,PR,1983-03-14
Vitória Oliveira,302***.***.***-83,31.0,Esplanada Monteiro, 88, Conjunto Paulo Vi,RR,1993-03-10
Benjamin Oliveira,451***.***.***-84,50.0,Ladeira Monteiro, 57, Vila Primeiro De Maio,AC,1974-05-16
Pietro Barros,843***.***.***-50,52.0,Recanto Luiz Miguel Jesus, 35, Vila Aeroporto Jaraguá,MG,1972-08-19
Samuel Cavalcanti,520***.***.***-01,90.0,Ladeira de Porto, 38, Nova America,RR,1934-11-26
Ian Da Costa,384***.***.***-78,24.0,Via de Jesus, 57, Vila Da Amizade,GO,2001-01-21
Dr. Emanuel Costa,736***.***.***-19,55.0,Lago Castro, 94, Mariano De Abreu,GO,1969-03-09
Larissa Da Cruz,128***.***.***-60,84.0,Setor Isadora da Rosa, 583, Chácara Leonina,MS,1940-11-22
Diogo Carvalho,078***.***.***-97,83.0,Viaduto Pedro Lucas Cavalcanti, 49, Tiradentes,MA,1941-03-10
Sr. Anthony Almeida,305***.***.***-60,38.0,Rua Vitor Hugo Pinto, 21, Anchieta,BA,1987-02-03
Clara Martins,397***.***.***-86,77.0,Rodovia Aragão, 245, Conjunto Lagoa,BA,1947-03-14
Dr. Luiz Felipe Cardoso,374***.***.***-20,70.0,Alameda de Lima, 65, Boa Esperança,AP,1954-07-20
Sr. Calebe Lopes,135***.***.***-77,63.0,Trecho Lucas Sales, 24, Dom Bosco,CE,1961-10-19
